bolag_slug;bolag_namn;trafik_kr_ar;halv_kr_ar;hel_kr_ar;trustpilot_betyg;trustpilot_antal;sjalvrisk_trafik;sjalvrisk_vagn;sjalvrisk_glas;sjalvrisk_stold;sjalvrisk_maskin;hamtad_datum;kalla_url;notering
folksam;Folksam;;;;;;;;;;;;;
lansforsakringar;Länsförsäkringar;;;;;;;;;;;;;
if;If Skadeförsäkring;;;;;;;;;;;;;
trygg-hansa;Trygg-Hansa;;;;;;;;;;;;;
gjensidige;Gjensidige;;;;;;;;;;;;;
dina-forsakringar;Dina Försäkringar;;;;;;;;;;;;;
hedvig;Hedvig;;;;;;;;;;;;;
ica-forsakring;ICA Försäkring;;;;;;;;;;;;;
svedea;Svedea;;;;;;;;;;;;;
gofido;Gofido;;;;;;;;;;;;;
moderna-forsakringar;Moderna Försäkringar;;;;;;;;;;;;;
paydrive;Paydrive;;;;;;;;;;;;;
watercircles;Watercircles;;;;;;;;;;;;;
volvia;Volvia;;;;;;;;;;;;;
aktsam;Aktsam;;;;;;;;;;;;;
evoli;Evoli;;;;;;;;;;;;;
